step,phase,loss_e,loss_d,loss_g_u,loss_g_v,loss_s
1,embed,0.4231036626261911,,,,
100,embed,0.08030599353925831,,,,
200,embed,0.013420306665619348,,,,
300,embed,0.0032999706994672547,,,,
400,embed,0.007120807624889568,,,,
500,embed,0.006692154410283443,,,,
600,embed,0.00561972171877668,,,,
700,embed,0.005424412325602389,,,,
800,embed,0.0011101939567320501,,,,
900,embed,0.005912784453360112,,,,
1000,embed,0.005230484148452262,,,,
1100,embed,0.0016815132162230917,,,,
1200,embed,0.0011148360980515139,,,,
1300,embed,0.0016238497419430566,,,,
1400,embed,0.0036340524097049757,,,,
1500,embed,0.004856274430444106,,,,
1600,embed,0.006411287372335596,,,,
1700,embed,0.001495365585593566,,,,
1800,embed,0.0061006765915315,,,,
1900,embed,0.003232786432959813,,,,
2000,embed,0.004036706355942024,,,,
2100,embed,0.004507257729436545,,,,
2200,embed,0.0034723716655587415,,,,
2300,embed,0.0015894094777892213,,,,
2400,embed,0.0026218508591601022,,,,
2500,embed,0.0014342825773898595,,,,
2600,embed,0.0010016360918630336,,,,
2700,embed,0.0025407279000620115,,,,
2800,embed,0.0013337102923389717,,,,
2900,embed,0.0031275139613840277,,,,
3000,embed,0.007479843184768103,,,,
3100,embed,0.004046197933885105,,,,
3200,embed,0.003492211980080182,,,,
3300,embed,0.0007801791094667749,,,,
3400,embed,0.000815923904611766,,,,
3500,embed,0.0022317179215589032,,,,
3600,embed,0.0026300778975579873,,,,
3700,embed,0.0007519973325550458,,,,
3800,embed,0.0013928321157670484,,,,
3900,embed,0.0019281784162589579,,,,
4000,embed,0.0021032988144664764,,,,
4100,embed,0.0015064616354360369,,,,
4200,embed,0.005107510690846822,,,,
4300,embed,0.0033947322966862608,,,,
4400,embed,0.002904500421446948,,,,
4500,embed,0.002325719359090044,,,,
4600,embed,0.00499970579760263,,,,
4700,embed,0.001046538291861192,,,,
4800,embed,0.0012165167294669343,,,,
4900,embed,0.0019964245336704855,,,,
5000,embed,0.0008374678873419215,,,,
5100,embed,0.001052380796465529,,,,
5200,embed,0.003030326964697077,,,,
5300,embed,0.0029025489477701163,,,,
5400,embed,0.0017159073753758858,,,,
5500,embed,0.002604756311425917,,,,
5600,embed,0.0012308487014013952,,,,
5700,embed,0.0026350263835386418,,,,
5800,embed,0.0010260340158318585,,,,
5900,embed,0.0007851670785102065,,,,
6000,embed,0.000661466213104648,,,,
6100,embed,0.000862886048489728,,,,
6200,embed,0.0025286088674493453,,,,
6300,embed,0.0012166587693595932,,,,
6400,embed,0.0020874852483303203,,,,
6500,embed,0.001852646936955858,,,,
6600,embed,0.0019498968711569502,,,,
6700,embed,0.0031293876342437773,,,,
6800,embed,0.0007731597283978035,,,,
6900,embed,0.003215918193348967,,,,
7000,embed,0.0021282667064907402,,,,
7100,embed,0.00425217273284779,,,,
7200,embed,0.0017119852556141957,,,,
7300,embed,0.0010474934856860045,,,,
7400,embed,0.002141301488406789,,,,
7500,embed,0.002539467635982075,,,,
7600,embed,0.002757909714285354,,,,
7700,embed,0.0009959109632737674,,,,
7800,embed,0.0005641305276222127,,,,
7900,embed,0.0007745315147304313,,,,
8000,embed,0.0008871417568647295,,,,
8100,embed,0.0015239024773267796,,,,
8200,embed,0.0005390126824818042,,,,
8300,embed,0.0012401169071473287,,,,
8400,embed,0.0008749165355799891,,,,
8500,embed,0.0013129288381028934,,,,
8600,embed,0.0018968123650511413,,,,
8700,embed,0.0007870498112381519,,,,
8800,embed,0.0014504409759671928,,,,
8900,embed,0.0010413650835578683,,,,
9000,embed,0.001453456211116216,,,,
9100,embed,0.002080433909116944,,,,
9200,embed,0.00407752417928811,,,,
9300,embed,0.003688779587191726,,,,
9400,embed,0.00401839859598187,,,,
9500,embed,0.0009987178123871238,,,,
9600,embed,0.0028711280386849464,,,,
9700,embed,0.0021281808093032953,,,,
9800,embed,0.0015648255397369526,,,,
9900,embed,0.0010838270499437263,,,,
10000,embed,0.0018895788941952223,,,,
1,joint,0.001499446724337802,1.3905508518218994,0.7359707951545715,0.2469857931137085,0.0
100,joint,0.0006831346974779816,1.385624885559082,0.6641555428504944,0.02711605280637741,1.0184407234191895
200,joint,0.0023192508424658242,1.3883557319641113,0.6944797039031982,0.04130399972200394,0.9612357020378113
300,joint,0.0015008085767595676,1.3856451511383057,0.6876752376556396,0.019309815019369125,0.6891968846321106
400,joint,0.0010383315528133587,1.3789517879486084,0.7081936597824097,0.02685704082250595,0.813317596912384
500,joint,0.0015081239164848861,1.3859721422195435,0.694311261177063,0.012620761059224606,0.5696889162063599
600,joint,0.0016942079926733947,1.3855865001678467,0.6933020353317261,0.030354682356119156,0.45655980706214905
700,joint,0.0023269897600361345,1.3850215673446655,0.6940363645553589,0.02318328619003296,0.42740070819854736
800,joint,0.0019593545772499834,1.3860230445861816,0.6951395273208618,0.027647115290164948,0.39227408170700073
900,joint,0.00080466605998152,1.3827102184295654,0.6903853416442871,0.01828765869140625,0.5103304386138916
1000,joint,0.001079554376658224,1.3837183713912964,0.6939330101013184,0.012280523777008057,0.40235528349876404
1100,joint,0.0012115411291308276,1.3863792419433594,0.6912339925765991,0.013466225937008858,0.3871757984161377
1200,joint,0.0025910253576083204,1.385655164718628,0.7039836645126343,0.021862609311938286,0.6800510287284851
1300,joint,0.004734608710486069,1.3859773874282837,0.6948123574256897,0.02415730245411396,0.6719127893447876
1400,joint,0.0033274474535334255,1.387873888015747,0.694631814956665,0.029480651021003723,0.03253507614135742
1500,joint,0.004979001266132376,1.3875203132629395,0.6965335607528687,0.03006741963326931,-1.5356621742248535
1600,joint,0.0071322651704319685,1.386082410812378,0.6890117526054382,0.021956266835331917,-1.8720054626464844
1700,joint,0.006734129284773223,1.3882149457931519,0.6923774480819702,0.03054790571331978,-2.1045336723327637
1800,joint,0.003740125741039295,1.3871240615844727,0.6959562301635742,0.018098169937729836,-1.7584640979766846
1900,joint,0.005532721964341109,1.3840458393096924,0.6936202049255371,0.011337941512465477,-1.1912622451782227
2000,joint,0.0020119660069162957,1.3842881917953491,0.6894209384918213,0.022327400743961334,-2.5859732627868652
2100,joint,0.003122658557853861,1.3780324459075928,0.6896845102310181,0.013142727315425873,-2.0482535362243652
2200,joint,0.003023954337986321,1.3893193006515503,0.6983013153076172,0.016880542039871216,-2.7701377868652344
2300,joint,0.003121957861651519,1.3874081373214722,0.6956901550292969,0.028834063559770584,-2.285468339920044
2400,joint,0.003767998240735945,1.3765795230865479,0.699073314666748,0.014789585955440998,-2.7173988819122314
2500,joint,0.003509477687645343,1.3817641735076904,0.7037482261657715,0.03307618573307991,-2.561957359313965
2600,joint,0.0027566309555287463,1.3843467235565186,0.7076867818832397,0.01114237867295742,-2.8846635818481445
2700,joint,0.0025675023029018166,1.3724448680877686,0.7336426377296448,0.011106891557574272,-2.6014981269836426
2800,joint,0.0026079875055380597,1.4045047760009766,0.5881415009498596,0.013018343597650528,-2.9593043327331543
2900,joint,0.00229665527166541,1.3139982223510742,0.7719446420669556,0.019153866916894913,-2.9284820556640625
3000,joint,0.001991048842385008,1.3122217655181885,1.13699471950531,0.010701602324843407,-3.1151697635650635
